电影名称,导演,主演,年代,地区,影片类型,评分,评分人数,简介
肖申克的救赎, 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbin, 蒂姆·罗宾斯 Tim Robbin,,1994,犯罪 剧情,9.7,,"
希望让人自由。
"
霸王别姬, 陈凯歌 Kaige Chen   主演: 张国荣 Le, 张国荣 Le,,1993,剧情 爱情 同性,9.6,,"
风华绝代。
"
泰坦尼克号, 詹姆斯·卡梅隆 Jame, 莱昂纳多·迪卡普里奥 Leonardo...,,1997,剧情 爱情 灾难,9.5,,"
失去的才是永恒的。 
"
阿甘正传, 罗伯特·泽米吉斯 Robert Zemecki, 汤姆·汉克斯 Tom Hank,,1994,剧情 爱情,9.5,,"
一部美国近现代史。
"
千与千寻, 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy..., 柊瑠美 Rumi Hîragi / 入野自由 Miy...,,2001,剧情 动画 奇幻,9.4,,"
最好的宫崎骏，最好的久石让。 
"
美丽人生, 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni..., 罗伯托·贝尼尼 Roberto Beni...,,1997,剧情 喜剧 爱情 战争,9.5,,"
最美的谎言。
"
这个杀手不太冷, 吕克·贝松 Luc Be, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,,1994,剧情 动作 犯罪,9.4,,"
怪蜀黍和小萝莉不得不说的故事。
"
星际穿越, 克里斯托弗·诺兰 Chri, 马修·麦康纳 Matthew Mc...,,2014,剧情 科幻 冒险,9.4,,"
爱是一种力量，让我们超越时空感知它的存在。
"
盗梦空间, 克里斯托弗·诺兰 Chri, 莱昂纳多·迪卡普里奥 Le...,,2010,剧情 科幻 悬疑 冒险,9.4,,"
诺兰给了我们一场无法盗取的梦。
"
楚门的世界, 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..., 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,,1998,剧情 科幻,9.4,,"
如果再也不能见到你，祝你早安，午安，晚安。
"
辛德勒的名单, 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Nee, 连姆·尼森 Liam Nee,,1993,剧情 历史 战争,9.5,,"
拯救一个人，就是拯救整个世界。
"
忠犬八公的故事, 莱塞·霍尔斯道姆 La, 理查·基尔 Richard Ger...,,2009,剧情,9.4,,"
永远都不能忘记你所爱的人。
"
海上钢琴师, 朱塞佩·托纳多雷 Giu, 蒂姆·罗斯 Tim Roth / ...,,1998,剧情 音乐,9.3,,"
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
"
三傻大闹宝莱坞, 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡..., 阿米尔·汗 Aamir Khan / 卡...,,2009,剧情 喜剧 爱情 歌舞,9.2,,"
英俊版憨豆，高情商版谢耳朵。
"
疯狂动物城, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·..., 金妮弗·...,,2016,喜剧 动画 冒险,9.2,,"
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
"
放牛班的春天, 克里斯托夫·巴拉蒂 Chri, 让-巴蒂斯特·莫尼...,,2004,剧情 音乐,9.3,,"
天籁一般的童声，是最接近上帝的存在。 
"
机器人总动员, 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽..., 本·贝尔特 Ben Burtt / 艾丽...,,2008,科幻 动画 冒险,9.3,,"
小瓦力，大人生。
"
无间道, 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W..., 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,,2002,剧情 犯罪 惊悚,9.3,,"
香港电影史上永不过时的杰作。
"
控方证人, 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·..., 泰隆·鲍华 Tyrone Power / 玛琳·...,,1957,剧情 犯罪 悬疑 惊悚,9.6,,"
比利·怀德满分作品。
"
大话西游之大圣娶亲, 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..., 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,,1995,喜剧 爱情 奇幻 古装,9.2,,"
一生所爱。
"
熔炉, 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /..., 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,,2011,剧情,9.3,,"
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
"
触不可及, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,,2011,剧情 喜剧,9.3,,"
满满温情的高雅喜剧。
"
教父, 弗朗西斯·福特·科波拉 Franci, 马龙·白兰度 M...,,1972,剧情 犯罪,9.3,,"
千万不要记恨你的对手，这样会让你失去理智。
"
